id;pos;product_id;title;teacher_id;schedule
1;1;1;Группа 1 Вт-Сб;19;{"days": [["10:00", "12:00"], ["18:00", "19:00"], [], [], [], ["10:00", "11:00"], []]}
2;2;1;Группа 2 Ср-Сб;19;{"days": [[], [], ["18:00", "19:00"], [], [], ["11:15", "12:15"], []]}
3;3;3;Группа 3 Чт-Сб;19;{"days": [[], [], [], ["18:00", "19:00"], [], ["12:30", "13:20"], []]}
4;4;2;Группа 4 Сб;18;{"days": [[], [], ["18:00", "19:00"], [], [], ["14:00", "16:00"], []]}
5;5;4;Группа 5 инженерная Сб;19;{"days": [[], [], [], [], [], ["16:00", "17:00"], []]}
6;6;1;Группа 6 Вс;19;{"days": [[], ["16:00", "17:00"], [], [], [], [], ["10:00", "11:00"]]}
7;7;1;Группа Тест;19;{"days": [["8:00", "23:00"],["8:00", "23:00"],["8:00", "23:00"],["8:00", "23:00"],["8:00", "23:00"],["8:00", "23:00"],["8:00", "23:00"]]}


